SensorID,Local,Latitude,Longitude,Temperatura,Umidade,Vibracao,Qualidade_Solo,Risco,Data_Registro,Local_Enc,Risco_Enc
SENSOR-01201,Encosta Verde,-23.316083,-46.666783,37.32,92.28,9.3,95.35,Alto,2025-05-06,1,0
SENSOR-01202,Encosta Verde,-23.250019,-46.6107,16.26,67.77,9.98,19.11,Alto,2025-05-08,1,0
SENSOR-01203,Encosta Verde,-23.095227,-46.60789,23.71,88.68,1.65,84.8,Baixo,2025-04-10,1,1
SENSOR-01204,Serra Branca,-23.005391,-46.565523,26.75,26.99,0.58,9.18,Alto,2025-03-18,3,0
SENSOR-01205,Morro Azul,-23.057391,-46.360606,21.83,92.78,6.94,95.74,Médio,2025-05-16,2,2
SENSOR-01206,Colina Alta,-23.360368,-46.545407,21.43,79.33,2.36,91.19,Baixo,2025-04-21,0,1
SENSOR-01207,Serra Branca,-23.45215,-46.585309,18.9,85.3,5.97,22.04,Alto,2025-04-15,3,0
SENSOR-01208,Colina Alta,-23.020491,-46.443664,34.19,30.05,2.09,39.9,Médio,2025-04-26,0,2
SENSOR-01209,Vale Seguro,-23.372563,-46.763113,30.72,95.01,1.33,35.3,Médio,2025-04-08,4,2
SENSOR-01210,Colina Alta,-23.302167,-46.372426,35.55,39.55,5.06,33.81,Médio,2025-04-22,0,2
SENSOR-01211,Morro Azul,-23.285954,-46.722337,27.56,54.83,0.47,47.63,Médio,2025-04-16,2,2
SENSOR-01212,Morro Azul,-23.008015,-46.441967,35.99,86.2,9.38,94.3,Alto,2025-03-06,2,0
SENSOR-01213,Morro Azul,-23.091386,-46.343409,33.8,97.83,5.74,6.63,Alto,2025-03-16,2,0
SENSOR-01214,Serra Branca,-23.266334,-46.64774,39.58,65.02,4.46,11.59,Alto,2025-05-21,3,0
SENSOR-01215,Vale Seguro,-23.263957,-46.395223,20.32,71.38,4.22,21.58,Alto,2025-04-11,4,0
SENSOR-01216,Colina Alta,-23.478473,-46.733794,30.1,38.31,4.45,51.05,Médio,2025-03-31,0,2
SENSOR-01217,Encosta Verde,-23.182989,-46.66985,30.62,46.35,7.47,52.99,Alto,2025-04-09,1,0
SENSOR-01218,Morro Azul,-23.313866,-46.746042,23.35,53.83,6.11,79.19,Médio,2025-03-17,2,2
SENSOR-01219,Serra Branca,-23.164877,-46.717259,21.86,53.81,5.14,50.21,Médio,2025-03-24,3,2
SENSOR-01220,Vale Seguro,-23.244993,-46.380338,15.02,98.8,3.06,72.78,Baixo,2025-03-04,4,1
SENSOR-01221,Vale Seguro,-23.456133,-46.516805,33.66,42.07,8.63,52.46,Alto,2025-05-03,4,0
SENSOR-01222,Vale Seguro,-23.227835,-46.429761,22.14,54.35,2.78,76.21,Baixo,2025-05-21,4,1
SENSOR-01223,Encosta Verde,-23.255857,-46.477724,21.53,88.42,8.01,27.14,Alto,2025-06-02,1,0
SENSOR-01224,Colina Alta,-23.055848,-46.467827,18.88,34.27,5.83,32.27,Médio,2025-03-05,0,2
SENSOR-01225,Morro Azul,-23.263878,-46.340725,28.52,55.7,3.7,65.92,Baixo,2025-03-24,2,1
SENSOR-01226,Vale Seguro,-23.010373,-46.555897,25.12,36.45,6.12,32.03,Médio,2025-05-03,4,2
SENSOR-01227,Colina Alta,-23.150017,-46.582631,36.77,55.89,6.28,68.62,Médio,2025-03-25,0,2
SENSOR-01228,Vale Seguro,-23.255949,-46.356953,23.32,31.79,8.74,86.19,Alto,2025-04-12,4,0
SENSOR-01229,Encosta Verde,-23.144671,-46.64545,30.38,91.0,1.01,64.82,Baixo,2025-04-11,1,1
SENSOR-01230,Colina Alta,-23.411161,-46.324351,24.86,23.54,3.32,65.21,Baixo,2025-04-03,0,1
SENSOR-01231,Serra Branca,-23.271035,-46.468446,16.02,90.42,8.93,98.08,Alto,2025-05-01,3,0
SENSOR-01232,Morro Azul,-23.350176,-46.627763,32.24,57.28,3.93,2.27,Alto,2025-04-23,2,0
SENSOR-01233,Encosta Verde,-23.09621,-46.382312,37.51,34.96,6.36,15.61,Alto,2025-05-01,1,0
SENSOR-01234,Colina Alta,-23.230378,-46.788514,28.31,24.61,1.69,94.08,Baixo,2025-05-17,0,1
SENSOR-01235,Vale Seguro,-23.123384,-46.45447,28.63,53.89,7.86,66.3,Alto,2025-05-22,4,0
SENSOR-01236,Morro Azul,-23.243476,-46.368368,23.51,74.61,4.76,21.55,Alto,2025-04-16,2,0
SENSOR-01237,Colina Alta,-23.378138,-46.564569,28.48,70.26,9.5,19.37,Alto,2025-04-29,0,0
SENSOR-01238,Serra Branca,-23.290695,-46.604441,29.07,66.04,0.73,46.86,Médio,2025-03-29,3,2
SENSOR-01239,Colina Alta,-23.289651,-46.783663,25.21,28.84,0.8,13.27,Alto,2025-05-13,0,0
SENSOR-01240,Colina Alta,-23.020115,-46.778055,16.84,92.61,4.08,62.13,Médio,2025-05-11,0,2
SENSOR-01241,Serra Branca,-23.136436,-46.322401,18.1,57.38,4.52,4.55,Alto,2025-04-19,3,0
SENSOR-01242,Colina Alta,-23.298549,-46.548472,32.02,35.44,1.57,73.27,Baixo,2025-03-17,0,1
SENSOR-01243,Colina Alta,-23.48066,-46.733083,15.83,74.08,7.92,16.58,Alto,2025-03-23,0,0
SENSOR-01244,Colina Alta,-23.044377,-46.678788,36.88,48.73,3.45,47.26,Médio,2025-04-30,0,2
SENSOR-01245,Colina Alta,-23.373351,-46.567965,38.63,86.17,8.34,47.84,Alto,2025-04-23,0,0
SENSOR-01246,Vale Seguro,-23.471544,-46.409315,37.66,78.1,5.46,75.82,Médio,2025-05-30,4,2
SENSOR-01247,Vale Seguro,-23.241688,-46.700805,39.63,70.23,8.75,95.97,Alto,2025-05-15,4,0
SENSOR-01248,Serra Branca,-23.326107,-46.415285,32.73,31.52,8.12,9.71,Alto,2025-05-03,3,0
SENSOR-01249,Serra Branca,-23.210292,-46.501669,25.1,34.72,0.87,2.04,Alto,2025-05-30,3,0
SENSOR-01250,Serra Branca,-23.142237,-46.555994,24.77,85.14,4.95,29.71,Alto,2025-05-17,3,0
SENSOR-01251,Serra Branca,-23.252601,-46.67074,17.44,85.3,6.98,42.48,Médio,2025-05-17,3,2
SENSOR-01252,Morro Azul,-23.29562,-46.474305,37.12,52.57,8.15,46.5,Alto,2025-03-05,2,0
SENSOR-01253,Vale Seguro,-23.233935,-46.441996,39.71,56.54,5.85,99.21,Médio,2025-04-07,4,2
SENSOR-01254,Colina Alta,-23.105995,-46.631016,29.67,97.02,2.53,10.19,Alto,2025-04-08,0,0
SENSOR-01255,Encosta Verde,-23.208902,-46.551465,37.79,98.21,6.39,80.16,Médio,2025-05-11,1,2
SENSOR-01256,Colina Alta,-23.29199,-46.559797,27.11,57.05,6.15,16.21,Alto,2025-04-09,0,0
SENSOR-01257,Morro Azul,-23.354646,-46.752964,34.68,82.78,6.19,51.19,Médio,2025-03-22,2,2
SENSOR-01258,Encosta Verde,-23.002393,-46.783998,31.42,65.56,8.11,69.45,Alto,2025-03-10,1,0
SENSOR-01259,Morro Azul,-23.279949,-46.551377,22.44,78.79,8.76,85.35,Alto,2025-03-13,2,0
SENSOR-01260,Colina Alta,-23.453362,-46.67393,30.34,61.6,5.21,91.56,Médio,2025-05-03,0,2
SENSOR-01261,Encosta Verde,-23.333025,-46.333737,24.09,52.17,3.7,27.12,Alto,2025-03-23,1,0
SENSOR-01262,Encosta Verde,-23.274555,-46.691609,34.66,69.32,0.88,93.25,Baixo,2025-04-08,1,1
SENSOR-01263,Morro Azul,-23.439178,-46.696266,26.71,31.85,6.47,96.02,Médio,2025-03-26,2,2
SENSOR-01264,Encosta Verde,-23.283456,-46.75934,36.83,34.06,0.19,51.16,Baixo,2025-05-15,1,1
SENSOR-01265,Morro Azul,-23.041285,-46.35054,26.22,90.71,8.34,20.09,Alto,2025-04-14,2,0
SENSOR-01266,Encosta Verde,-23.080527,-46.307846,38.39,55.78,0.51,95.01,Baixo,2025-06-01,1,1
SENSOR-01267,Encosta Verde,-23.219366,-46.740554,35.69,26.36,4.34,91.84,Médio,2025-05-13,1,2
SENSOR-01268,Morro Azul,-23.029399,-46.568911,26.97,99.05,5.96,84.6,Médio,2025-03-06,2,2
SENSOR-01269,Morro Azul,-23.391543,-46.572503,20.68,27.7,8.34,6.88,Alto,2025-05-23,2,0
SENSOR-01270,Vale Seguro,-23.223337,-46.779509,36.21,21.16,9.85,99.31,Alto,2025-04-28,4,0
SENSOR-01271,Morro Azul,-23.312561,-46.646172,17.88,85.64,0.62,36.73,Médio,2025-05-18,2,2
SENSOR-01272,Vale Seguro,-23.315899,-46.653836,26.32,33.73,8.99,68.65,Alto,2025-04-20,4,0
SENSOR-01273,Morro Azul,-23.339843,-46.644649,33.19,49.28,4.26,6.86,Alto,2025-05-20,2,0
SENSOR-01274,Encosta Verde,-23.005327,-46.32882,19.07,50.35,4.42,5.38,Alto,2025-03-19,1,0
SENSOR-01275,Morro Azul,-23.185259,-46.320339,24.79,37.61,0.59,90.74,Baixo,2025-05-16,2,1
SENSOR-01276,Colina Alta,-23.493978,-46.747255,25.9,31.98,6.47,76.59,Médio,2025-04-24,0,2
SENSOR-01277,Morro Azul,-23.249453,-46.491868,30.77,71.78,6.35,71.07,Médio,2025-04-30,2,2
SENSOR-01278,Serra Branca,-23.332552,-46.51995,19.35,35.47,2.16,71.57,Baixo,2025-04-07,3,1
SENSOR-01279,Vale Seguro,-23.496607,-46.363205,30.77,57.49,3.39,15.31,Alto,2025-05-04,4,0
SENSOR-01280,Morro Azul,-23.279971,-46.777017,29.29,30.37,5.23,88.28,Médio,2025-05-27,2,2
SENSOR-01281,Vale Seguro,-23.266885,-46.738802,38.08,36.65,4.51,39.59,Médio,2025-03-24,4,2
SENSOR-01282,Encosta Verde,-23.053862,-46.303942,18.91,55.62,1.7,79.44,Baixo,2025-05-12,1,1
SENSOR-01283,Morro Azul,-23.05827,-46.35068,25.36,25.0,6.6,71.32,Médio,2025-04-21,2,2
SENSOR-01284,Serra Branca,-23.169194,-46.448186,24.98,24.29,1.23,38.32,Médio,2025-05-10,3,2
SENSOR-01285,Morro Azul,-23.122485,-46.44769,21.58,29.3,1.6,99.05,Baixo,2025-04-25,2,1
SENSOR-01286,Serra Branca,-23.005274,-46.437409,16.47,57.38,6.43,82.15,Médio,2025-05-31,3,2
SENSOR-01287,Morro Azul,-23.465745,-46.492772,17.84,99.89,8.14,32.62,Alto,2025-05-01,2,0
SENSOR-01288,Serra Branca,-23.383697,-46.739305,36.57,38.68,6.89,91.91,Médio,2025-03-31,3,2
SENSOR-01289,Encosta Verde,-23.082372,-46.77113,18.37,38.68,6.18,64.59,Médio,2025-05-12,1,2
SENSOR-01290,Morro Azul,-23.229132,-46.365542,37.9,41.84,9.49,75.67,Alto,2025-03-30,2,0
SENSOR-01291,Vale Seguro,-23.474414,-46.763048,19.77,62.66,8.64,72.42,Alto,2025-05-13,4,0
SENSOR-01292,Vale Seguro,-23.057516,-46.691281,32.11,28.05,8.91,35.85,Alto,2025-03-13,4,0
SENSOR-01293,Colina Alta,-23.212584,-46.450376,28.82,48.33,8.95,31.55,Alto,2025-04-14,0,0
SENSOR-01294,Morro Azul,-23.164295,-46.491948,34.27,54.56,6.47,77.48,Médio,2025-05-01,2,2
SENSOR-01295,Vale Seguro,-23.183084,-46.366136,35.66,85.89,3.98,66.7,Baixo,2025-03-05,4,1
SENSOR-01296,Vale Seguro,-23.045035,-46.787954,31.09,97.44,2.76,89.29,Baixo,2025-03-14,4,1
SENSOR-01297,Colina Alta,-23.475378,-46.704666,20.99,20.12,6.17,24.58,Alto,2025-05-14,0,0
SENSOR-01298,Serra Branca,-23.364974,-46.529815,24.34,50.56,2.41,34.57,Médio,2025-05-08,3,2
SENSOR-01299,Encosta Verde,-23.057929,-46.581291,36.14,56.37,7.34,32.19,Alto,2025-04-19,1,0
SENSOR-01300,Vale Seguro,-23.461551,-46.529609,29.18,30.02,7.31,4.84,Alto,2025-05-19,4,0
SENSOR-01301,Serra Branca,-23.213126,-46.453784,36.24,25.04,6.03,90.47,Médio,2025-05-11,3,2
SENSOR-01302,Colina Alta,-23.081023,-46.484168,16.26,96.19,6.42,11.3,Alto,2025-03-26,0,0
SENSOR-01303,Serra Branca,-23.308666,-46.585213,27.3,48.21,8.62,27.9,Alto,2025-05-31,3,0
SENSOR-01304,Colina Alta,-23.122427,-46.694655,24.45,93.93,0.14,47.36,Médio,2025-04-21,0,2
SENSOR-01305,Morro Azul,-23.440701,-46.656515,36.65,73.44,5.46,72.22,Médio,2025-05-13,2,2
SENSOR-01306,Encosta Verde,-23.314727,-46.335364,23.04,20.93,7.17,71.2,Alto,2025-03-09,1,0
SENSOR-01307,Encosta Verde,-23.179221,-46.798099,23.37,79.69,0.56,46.94,Médio,2025-04-03,1,2
SENSOR-01308,Encosta Verde,-23.486732,-46.371063,22.83,80.5,9.25,61.07,Alto,2025-05-05,1,0
SENSOR-01309,Encosta Verde,-23.118998,-46.642453,17.19,59.36,3.51,88.95,Baixo,2025-05-31,1,1
SENSOR-01310,Serra Branca,-23.445579,-46.716661,26.25,63.26,2.97,68.63,Baixo,2025-05-06,3,1
SENSOR-01311,Serra Branca,-23.185794,-46.570929,34.88,23.02,7.24,42.55,Alto,2025-04-06,3,0
SENSOR-01312,Colina Alta,-23.170341,-46.592842,22.25,83.99,8.84,35.46,Alto,2025-05-27,0,0
SENSOR-01313,Encosta Verde,-23.162994,-46.607546,27.33,23.32,4.29,29.55,Alto,2025-03-04,1,0
SENSOR-01314,Serra Branca,-23.368058,-46.452453,22.61,45.34,7.76,62.66,Alto,2025-04-23,3,0
SENSOR-01315,Serra Branca,-23.263764,-46.725394,17.37,47.8,1.5,14.05,Alto,2025-05-11,3,0
SENSOR-01316,Morro Azul,-23.342722,-46.410337,15.07,58.31,6.68,17.7,Alto,2025-04-03,2,0
SENSOR-01317,Encosta Verde,-23.060431,-46.358137,35.31,63.91,9.93,65.99,Alto,2025-03-27,1,0
SENSOR-01318,Vale Seguro,-23.420004,-46.615789,18.25,56.11,7.88,38.41,Alto,2025-04-09,4,0
SENSOR-01319,Encosta Verde,-23.417285,-46.636725,32.3,49.53,4.6,95.7,Médio,2025-05-15,1,2
SENSOR-01320,Serra Branca,-23.032832,-46.3188,32.63,52.59,3.54,32.72,Médio,2025-05-12,3,2
SENSOR-01321,Morro Azul,-23.436666,-46.715116,37.85,36.85,3.38,66.37,Baixo,2025-04-30,2,1
SENSOR-01322,Morro Azul,-23.495994,-46.795378,33.39,84.18,2.89,38.61,Médio,2025-03-04,2,2
SENSOR-01323,Serra Branca,-23.478793,-46.331372,21.51,95.15,3.87,92.72,Baixo,2025-05-05,3,1
SENSOR-01324,Morro Azul,-23.038023,-46.554791,26.92,61.13,0.79,68.96,Baixo,2025-05-23,2,1
SENSOR-01325,Vale Seguro,-23.195738,-46.68253,36.47,55.02,4.0,72.03,Baixo,2025-03-12,4,1
SENSOR-01326,Vale Seguro,-23.002367,-46.300421,36.87,73.25,6.46,58.37,Médio,2025-03-31,4,2
SENSOR-01327,Encosta Verde,-23.332079,-46.317656,39.06,52.77,9.2,40.06,Alto,2025-03-21,1,0
SENSOR-01328,Colina Alta,-23.496261,-46.313911,35.54,67.62,9.73,14.6,Alto,2025-03-06,0,0
SENSOR-01329,Vale Seguro,-23.190664,-46.476752,31.95,45.42,3.48,38.28,Médio,2025-05-16,4,2
SENSOR-01330,Morro Azul,-23.434317,-46.548473,24.43,83.29,1.9,57.92,Baixo,2025-05-21,2,1
SENSOR-01331,Encosta Verde,-23.27944,-46.722537,16.35,28.63,4.8,53.81,Médio,2025-05-11,1,2
SENSOR-01332,Morro Azul,-23.451854,-46.394462,30.0,99.97,2.23,51.81,Baixo,2025-05-22,2,1
SENSOR-01333,Vale Seguro,-23.036123,-46.446722,38.66,43.02,9.73,94.33,Alto,2025-04-01,4,0
SENSOR-01334,Colina Alta,-23.022824,-46.719646,24.62,35.32,8.24,1.49,Alto,2025-04-25,0,0
SENSOR-01335,Serra Branca,-23.138148,-46.655598,23.47,83.46,3.66,79.69,Baixo,2025-04-27,3,1
SENSOR-01336,Encosta Verde,-23.387768,-46.569383,39.19,33.39,4.97,59.51,Médio,2025-05-23,1,2
SENSOR-01337,Serra Branca,-23.456043,-46.475799,22.48,28.26,4.69,51.96,Médio,2025-05-04,3,2
SENSOR-01338,Vale Seguro,-23.430582,-46.50842,30.91,61.16,0.96,97.57,Baixo,2025-04-07,4,1
SENSOR-01339,Morro Azul,-23.251728,-46.441661,37.35,55.66,1.47,95.73,Baixo,2025-04-05,2,1
SENSOR-01340,Morro Azul,-23.393299,-46.530728,32.68,44.84,8.15,25.12,Alto,2025-03-04,2,0
SENSOR-01341,Colina Alta,-23.056936,-46.759394,38.55,49.47,6.57,53.1,Médio,2025-05-30,0,2
SENSOR-01342,Serra Branca,-23.364294,-46.792789,21.39,49.64,6.7,51.86,Médio,2025-05-08,3,2
SENSOR-01343,Encosta Verde,-23.489455,-46.314209,21.79,34.95,9.37,52.2,Alto,2025-03-11,1,0
SENSOR-01344,Vale Seguro,-23.196643,-46.513675,26.93,33.16,9.63,14.01,Alto,2025-05-16,4,0
SENSOR-01345,Encosta Verde,-23.141316,-46.678485,31.05,21.29,9.51,14.65,Alto,2025-03-06,1,0
SENSOR-01346,Encosta Verde,-23.462269,-46.352157,32.07,30.33,3.91,59.53,Baixo,2025-03-13,1,1
SENSOR-01347,Morro Azul,-23.14592,-46.771308,33.14,28.41,8.22,82.73,Alto,2025-05-17,2,0
SENSOR-01348,Morro Azul,-23.383238,-46.599865,32.92,48.51,8.37,14.53,Alto,2025-03-27,2,0
SENSOR-01349,Serra Branca,-23.342048,-46.317034,28.52,53.69,5.6,67.67,Médio,2025-04-05,3,2
SENSOR-01350,Vale Seguro,-23.294904,-46.768108,28.06,55.6,2.31,0.48,Alto,2025-04-21,4,0
SENSOR-01351,Colina Alta,-23.247462,-46.336823,26.32,60.49,2.41,10.99,Alto,2025-03-04,0,0
SENSOR-01352,Encosta Verde,-23.118973,-46.771313,34.19,38.63,6.15,28.77,Alto,2025-03-04,1,0
SENSOR-01353,Serra Branca,-23.138841,-46.632821,17.68,51.01,2.47,13.62,Alto,2025-03-13,3,0
SENSOR-01354,Colina Alta,-23.400953,-46.526542,30.13,57.82,0.52,87.84,Baixo,2025-04-26,0,1
SENSOR-01355,Vale Seguro,-23.206857,-46.692311,18.14,76.28,1.54,85.64,Baixo,2025-03-09,4,1
SENSOR-01356,Morro Azul,-23.425232,-46.533539,33.66,33.37,9.48,82.5,Alto,2025-06-02,2,0
SENSOR-01357,Morro Azul,-23.380306,-46.342205,31.55,84.86,8.69,41.21,Alto,2025-05-20,2,0
SENSOR-01358,Serra Branca,-23.121283,-46.462707,16.93,48.72,9.89,0.71,Alto,2025-05-13,3,0
SENSOR-01359,Serra Branca,-23.417138,-46.754574,37.9,48.64,7.92,81.93,Alto,2025-03-20,3,0
SENSOR-01360,Colina Alta,-23.441067,-46.433926,21.07,82.77,7.34,82.54,Alto,2025-05-27,0,0
SENSOR-01361,Colina Alta,-23.15599,-46.570156,39.53,60.63,0.27,99.53,Baixo,2025-04-09,0,1
SENSOR-01362,Colina Alta,-23.075039,-46.792499,32.76,55.25,8.26,32.69,Alto,2025-03-23,0,0
SENSOR-01363,Encosta Verde,-23.098814,-46.439891,38.54,82.9,9.71,48.58,Alto,2025-04-21,1,0
SENSOR-01364,Encosta Verde,-23.466064,-46.7596,27.68,42.19,6.19,89.27,Médio,2025-04-17,1,2
SENSOR-01365,Colina Alta,-23.48807,-46.669097,16.02,74.93,3.61,30.26,Médio,2025-04-21,0,2
SENSOR-01366,Vale Seguro,-23.44656,-46.678554,17.59,79.75,1.81,4.54,Alto,2025-05-11,4,0
SENSOR-01367,Encosta Verde,-23.099115,-46.448181,20.87,50.15,5.33,57.02,Médio,2025-04-06,1,2
SENSOR-01368,Vale Seguro,-23.033409,-46.430878,28.71,56.95,3.51,83.66,Baixo,2025-05-09,4,1
SENSOR-01369,Colina Alta,-23.061936,-46.799604,30.08,81.68,2.75,38.83,Médio,2025-05-21,0,2
SENSOR-01370,Encosta Verde,-23.043484,-46.346165,19.78,74.72,3.11,3.8,Alto,2025-03-25,1,0
SENSOR-01371,Serra Branca,-23.290709,-46.467062,36.92,60.42,8.06,81.16,Alto,2025-04-30,3,0
SENSOR-01372,Colina Alta,-23.294141,-46.740356,15.82,74.11,7.97,49.7,Alto,2025-05-15,0,0
SENSOR-01373,Colina Alta,-23.239534,-46.585758,17.85,93.81,4.44,13.37,Alto,2025-05-17,0,0
SENSOR-01374,Colina Alta,-23.46336,-46.474497,35.27,84.06,3.75,56.72,Baixo,2025-04-06,0,1
SENSOR-01375,Morro Azul,-23.253913,-46.302219,25.52,50.21,9.29,59.33,Alto,2025-06-01,2,0
SENSOR-01376,Colina Alta,-23.272323,-46.77275,22.87,62.52,3.78,64.55,Baixo,2025-05-28,0,1
SENSOR-01377,Colina Alta,-23.214987,-46.552381,27.58,28.36,2.68,46.81,Médio,2025-05-08,0,2
SENSOR-01378,Vale Seguro,-23.408006,-46.418121,36.16,29.84,4.78,90.4,Médio,2025-05-03,4,2
SENSOR-01379,Colina Alta,-23.431256,-46.628938,37.17,87.56,8.27,83.93,Alto,2025-05-16,0,0
SENSOR-01380,Morro Azul,-23.136033,-46.476998,21.24,92.71,9.27,97.24,Alto,2025-05-17,2,0
SENSOR-01381,Vale Seguro,-23.255908,-46.539579,38.93,69.4,4.65,69.4,Médio,2025-05-17,4,2
SENSOR-01382,Encosta Verde,-23.475509,-46.627254,17.46,86.48,1.91,2.03,Alto,2025-03-31,1,0
SENSOR-01383,Encosta Verde,-23.062685,-46.673726,25.43,61.15,5.65,51.11,Médio,2025-04-30,1,2
SENSOR-01384,Morro Azul,-23.176804,-46.396674,30.43,64.96,1.84,61.98,Baixo,2025-05-05,2,1
SENSOR-01385,Vale Seguro,-23.324507,-46.571207,17.81,46.03,2.42,81.52,Baixo,2025-04-02,4,1
SENSOR-01386,Colina Alta,-23.191352,-46.621022,37.44,67.24,1.82,88.21,Baixo,2025-03-20,0,1
SENSOR-01387,Morro Azul,-23.297783,-46.402127,37.32,25.1,4.6,73.56,Médio,2025-04-17,2,2
SENSOR-01388,Vale Seguro,-23.060894,-46.784886,27.38,46.44,5.61,88.45,Médio,2025-04-11,4,2
SENSOR-01389,Serra Branca,-23.000864,-46.363721,23.8,33.97,0.44,16.77,Alto,2025-04-11,3,0
SENSOR-01390,Colina Alta,-23.088336,-46.548215,18.31,88.39,6.68,88.52,Médio,2025-05-14,0,2
SENSOR-01391,Vale Seguro,-23.44429,-46.4896,30.35,85.41,2.09,71.3,Baixo,2025-06-02,4,1
SENSOR-01392,Vale Seguro,-23.031675,-46.331236,24.94,66.93,7.17,11.11,Alto,2025-03-17,4,0
SENSOR-01393,Vale Seguro,-23.000557,-46.532802,29.99,57.39,3.11,2.7,Alto,2025-03-29,4,0
SENSOR-01394,Serra Branca,-23.007938,-46.531731,29.56,52.61,5.67,20.63,Alto,2025-03-14,3,0
SENSOR-01395,Encosta Verde,-23.074975,-46.482293,25.06,53.61,9.99,69.16,Alto,2025-04-05,1,0
SENSOR-01396,Colina Alta,-23.324334,-46.509377,27.26,44.5,6.79,20.8,Alto,2025-05-20,0,0
SENSOR-01397,Morro Azul,-23.197791,-46.623367,29.67,96.13,7.53,50.81,Alto,2025-04-16,2,0
SENSOR-01398,Colina Alta,-23.334884,-46.434546,39.92,43.99,2.25,85.88,Baixo,2025-03-19,0,1
SENSOR-01399,Colina Alta,-23.273678,-46.556407,34.87,30.96,4.68,78.87,Médio,2025-04-07,0,2
SENSOR-01400,Encosta Verde,-23.346314,-46.639875,24.7,24.67,5.45,42.11,Médio,2025-03-15,1,2
SENSOR-01401,Colina Alta,-23.18688,-46.413052,37.73,60.43,0.98,73.09,Baixo,2025-03-19,0,1
SENSOR-01402,Vale Seguro,-23.320494,-46.614936,39.9,79.99,9.12,34.53,Alto,2025-05-30,4,0
SENSOR-01403,Morro Azul,-23.452305,-46.578347,19.08,61.22,6.5,49.73,Médio,2025-05-31,2,2
SENSOR-01404,Morro Azul,-23.470137,-46.447536,22.37,31.02,5.96,93.99,Médio,2025-05-11,2,2
SENSOR-01405,Serra Branca,-23.387889,-46.668967,28.98,44.43,5.5,19.12,Alto,2025-03-16,3,0
SENSOR-01406,Colina Alta,-23.234569,-46.393939,39.59,55.3,3.72,40.62,Médio,2025-05-31,0,2
SENSOR-01407,Colina Alta,-23.369352,-46.744862,16.94,34.53,7.03,26.85,Alto,2025-04-15,0,0
SENSOR-01408,Encosta Verde,-23.166045,-46.700807,33.28,74.33,3.6,11.78,Alto,2025-04-20,1,0
SENSOR-01409,Serra Branca,-23.125199,-46.339926,31.14,88.48,7.02,37.33,Alto,2025-05-28,3,0
SENSOR-01410,Vale Seguro,-23.411852,-46.30931,23.36,66.62,5.89,0.82,Alto,2025-04-14,4,0
SENSOR-01411,Serra Branca,-23.066895,-46.382741,36.98,59.05,1.29,54.28,Baixo,2025-05-29,3,1
SENSOR-01412,Encosta Verde,-23.037746,-46.517309,23.51,24.42,2.74,89.32,Baixo,2025-05-20,1,1
SENSOR-01413,Morro Azul,-23.097191,-46.450905,38.35,44.18,5.48,68.2,Médio,2025-03-10,2,2
SENSOR-01414,Encosta Verde,-23.408667,-46.383922,37.77,69.77,8.18,2.79,Alto,2025-03-21,1,0
SENSOR-01415,Colina Alta,-23.108863,-46.568998,17.92,64.57,6.19,43.41,Médio,2025-05-25,0,2
SENSOR-01416,Colina Alta,-23.45529,-46.462038,23.52,82.88,7.63,22.34,Alto,2025-05-21,0,0
SENSOR-01417,Colina Alta,-23.315862,-46.521957,23.08,28.03,1.71,55.97,Baixo,2025-05-21,0,1
SENSOR-01418,Morro Azul,-23.483554,-46.447205,17.96,37.09,7.21,66.9,Alto,2025-05-19,2,0
SENSOR-01419,Serra Branca,-23.409359,-46.405723,27.52,33.67,3.32,13.4,Alto,2025-04-29,3,0
SENSOR-01420,Encosta Verde,-23.220146,-46.560005,35.14,42.84,5.89,58.05,Médio,2025-05-04,1,2
SENSOR-01421,Morro Azul,-23.484302,-46.322472,31.97,31.07,2.01,59.09,Baixo,2025-05-17,2,1
SENSOR-01422,Vale Seguro,-23.457245,-46.703508,29.68,45.39,8.17,91.1,Alto,2025-05-07,4,0
SENSOR-01423,Serra Branca,-23.319313,-46.457726,25.19,53.18,8.48,27.77,Alto,2025-03-05,3,0
SENSOR-01424,Vale Seguro,-23.186628,-46.331279,38.39,38.67,0.09,66.48,Baixo,2025-05-29,4,1
SENSOR-01425,Vale Seguro,-23.007895,-46.443499,39.29,89.42,2.64,64.02,Baixo,2025-03-17,4,1
SENSOR-01426,Serra Branca,-23.100734,-46.648473,32.77,24.36,5.81,74.64,Médio,2025-03-26,3,2
SENSOR-01427,Colina Alta,-23.093211,-46.693406,22.44,69.99,3.41,11.45,Alto,2025-03-09,0,0
SENSOR-01428,Morro Azul,-23.028629,-46.7049,21.28,93.46,8.39,4.17,Alto,2025-05-24,2,0
SENSOR-01429,Serra Branca,-23.156893,-46.437793,20.85,63.72,7.01,38.67,Alto,2025-05-09,3,0
SENSOR-01430,Vale Seguro,-23.153833,-46.695988,33.55,25.13,1.16,74.13,Baixo,2025-05-18,4,1
SENSOR-01431,Serra Branca,-23.118237,-46.394046,26.34,81.36,1.63,9.2,Alto,2025-03-25,3,0
SENSOR-01432,Encosta Verde,-23.46278,-46.793805,35.7,71.06,6.29,54.68,Médio,2025-05-18,1,2
SENSOR-01433,Serra Branca,-23.014245,-46.343004,37.23,54.97,0.07,68.06,Baixo,2025-04-27,3,1
